speed(RPM),x,y,z,torque (lb.in),power (HP),stiches
645,1.016,-0.023,-0.152,611,625,6450
646,0.969,-0.121,-0.152,611,626,6460
647,1.016,0.082,-0.125,611,627,6470
648,1.004,0.02,-0.125,611,628,6480
649,1,0.156,-0.121,611,629,6490
650,1.012,0.07,-0.121,611,630,6500
651,0.984,-0.043,-0.141,611,631,6510
652,0.973,-0.094,-0.121,611,632,6520
653,1.047,0.094,-0.121,611,633,6530
654,0.98,-0.004,-0.133,611,634,6540
655,0.977,-0.078,-0.109,611,635,6550
656,1.051,0.113,-0.121,611,636,6560
657,0.988,0.012,-0.133,611,637,6570
658,1.031,0.082,-0.121,611,638,6580
659,1.012,0.078,-0.148,611,639,6590
660,0.98,-0.035,-0.117,611,640,6600
661,0.992,0.016,-0.117,611,641,6610
662,0.977,-0.035,-0.129,611,642,6620
663,1.008,-0.02,-0.125,611,643,6630
664,0.969,0.082,-0.125,611,644,6640
665,0.961,-0.031,-0.117,611,645,6650
666,1.02,0.008,-0.125,611,646,6660
667,0.957,-0.141,-0.152,611,647,6670
668,0.98,-0.023,-0.113,611,648,6680
669,1.016,0.027,-0.125,611,649,6690
670,0.98,-0.125,-0.164,611,650,6700
671,0.977,-0.07,-0.117,611,651,6710
672,1.012,0.027,-0.121,611,652,6720
673,0.992,-0.105,-0.16,612,653,6730
674,0.965,-0.094,-0.125,612,654,6740
675,1,0.008,-0.129,612,655,6750
676,0.992,-0.055,-0.145,612,656,6760
677,0.973,-0.105,-0.133,612,657,6770
678,1.016,0.078,-0.125,612,658,6780
679,0.977,0.09,-0.145,612,659,6790
680,1.047,0.113,-0.113,612,660,6800
681,0.996,0.039,-0.137,612,661,6810
682,1.027,-0.027,-0.148,612,662,6820
683,0.969,-0.133,-0.152,612,663,6830
684,0.992,0.059,-0.137,612,664,6840
685,1,-0.047,-0.121,612,665,6850
686,0.977,-0.109,-0.148,612,666,6860
687,1.012,0.09,-0.145,612,667,6870
688,1.027,-0.063,-0.117,612,668,6880
689,0.977,-0.023,-0.145,612,669,6890
690,1.004,0.094,-0.133,612,670,6900
691,1.027,-0.023,-0.125,612,671,6910
692,0.969,-0.133,-0.141,612,672,6920
693,1,0.098,-0.133,612,673,6930
694,1.02,-0.023,-0.125,612,674,6940
695,0.949,-0.152,-0.156,612,675,6950
696,1,0.07,-0.125,612,676,6960
697,1.023,0.02,-0.121,612,677,6970
698,0.988,0.152,-0.121,612,678,6980
699,1.027,0.063,-0.125,612,679,6990
700,0.98,-0.047,-0.145,612,680,7000
701,0.98,-0.094,-0.117,612,681,7010
702,1.016,0.074,-0.121,612,682,7020
703,0.984,0.012,-0.129,612,683,7030
704,1.031,0.098,-0.129,612,684,7040
705,1,0.039,-0.141,612,685,7050
706,0.984,-0.078,-0.121,612,686,7064
707,0.969,0.074,-0.121,612,687,7070
708,0.957,0.016,-0.129,612,688,7080
709,1.039,0.102,-0.125,612,689,7090
710,1.023,0.027,-0.113,612,690,7100
711,1.023,0.008,-0.125,613,691,7110
712,0.988,0.152,-0.16,613,692,7120
713,1.031,0.066,-0.133,613,693,7130
714,0.977,-0.035,-0.137,613,694,7140
715,0.977,0.137,-0.121,613,695,7150
716,0.984,-0.098,-0.133,613,696,7160
717,0.996,-0.043,-0.125,613,697,7170
718,0.977,-0.082,-0.109,613,698,7180
719,1.031,0.098,-0.125,613,699,7190
720,0.996,-0.023,-0.148,613,700,7200
721,0.984,-0.055,-0.117,613,701,7210
722,1.043,0.102,-0.125,613,702,7220
723,0.988,-0.004,-0.141,613,703,7230
724,0.949,-0.02,-0.125,613,704,7240
725,1.039,0.098,-0.113,613,705,7250
726,0.984,0.027,-0.141,613,706,7260
727,1.039,0.102,-0.121,613,707,7270
728,0.984,0.047,-0.125,613,708,7280
729,0.992,-0.023,-0.133,613,709,7290
730,0.969,0.113,-0.113,613,710,7300
731,0.973,-0.023,-0.113,613,711,7310
732,1.004,-0.008,-0.129,613,712,7320
733,0.957,0.09,-0.113,613,713,7330
734,0.969,-0.063,-0.125,613,714,7340
735,1,-0.004,-0.125,613,715,7350
736,0.957,-0.125,-0.121,613,716,7360
737,0.996,0.152,-0.125,613,717,7370
738,0.977,0.031,-0.129,613,718,7380
739,0.977,-0.113,-0.145,613,719,7394
740,0.965,-0.078,-0.125,613,720,7400
741,1.023,0.039,-0.129,613,721,7410
742,0.98,-0.066,-0.152,613,722,7420
743,0.98,-0.082,-0.125,613,723,7430
744,1.016,0.063,-0.121,613,724,7440
745,1.039,0.012,-0.125,613,725,7450
746,1.023,0.082,-0.121,613,726,7460
747,0.996,-0.008,-0.141,613,727,7470
748,0.977,0.113,-0.125,613,728,7480
749,0.98,-0.078,-0.121,613,729,7490
750,0.992,0.02,-0.137,613,730,7500
751,0.988,-0.086,-0.125,613,731,7510
752,0.992,-0.027,-0.152,613,732,7520
753,0.984,0.035,-0.141,614,733,7530
754,0.992,-0.07,-0.121,614,734,7540
755,0.957,-0.145,-0.156,614,735,7550
756,0.988,0.043,-0.133,614,736,7560
757,1.031,-0.055,-0.133,614,737,7570
758,0.957,-0.141,-0.141,614,738,7580
759,0.969,0.051,-0.117,614,739,7590
760,1.02,-0.035,-0.125,614,740,7600
761,0.961,-0.156,-0.145,614,741,7610
762,1.008,0.09,-0.129,614,742,7620
763,1.02,-0.023,-0.121,614,743,7630
764,0.949,-0.145,-0.16,614,744,7640
765,1.004,0.133,-0.137,614,745,7650
766,0.996,-0.004,-0.133,614,746,7660
767,0.965,-0.129,-0.152,614,747,7670
768,0.996,0.148,-0.129,614,748,7680
769,1.016,0.004,-0.125,614,749,7698
770,0.984,0.113,-0.125,614,750,7700
771,1.023,0.078,-0.125,806,751,7710
772,0.973,-0.07,-0.137,614,752,7720
773,0.996,-0.02,-0.137,614,753,7730
774,1.023,0.09,-0.141,614,754,7740
775,0.965,-0.035,-0.152,614,755,7750
776,0.973,-0.094,-0.125,614,756,7760
777,1.047,0.074,-0.129,614,757,7770
778,0.988,-0.031,-0.148,614,758,7780
779,0.973,-0.094,-0.121,614,759,7790
780,1.004,0.023,-0.109,614,760,7800
781,0.953,0.004,-0.148,614,761,7810
782,1.066,0.109,-0.121,614,762,7820
783,0.98,0.086,-0.133,614,763,7830
784,1.016,-0.016,-0.129,614,764,7840
785,0.988,-0.16,-0.145,614,765,7850
786,1.027,0.121,-0.121,614,766,7860
787,1.023,-0.012,-0.137,614,767,7870
788,0.98,-0.125,-0.125,614,768,7880
789,0.992,0.129,-0.125,614,769,7890
790,1.008,0.008,-0.125,614,770,7900
791,0.992,0.121,-0.156,614,771,7910
792,1.035,0.055,-0.113,614,772,7920
793,0.984,-0.09,-0.156,614,773,7930
794,1,0.082,-0.133,614,774,7940
795,0.984,-0.07,-0.113,614,775,7950
796,0.984,-0.059,-0.152,614,776,7960
797,0.98,0.09,-0.125,614,777,7970
798,0.992,-0.07,-0.129,640,778,7980
799,0.934,-0.023,-0.125,614,779,7990
800,0.973,-0.105,-0.117,614,780,8000
801,1.008,0.047,-0.129,615,781,8010
802,0.988,-0.016,-0.145,615,782,8020
803,0.965,-0.102,-0.117,615,783,8030
804,1.004,0.074,-0.125,615,784,8040
805,0.992,-0.004,-0.141,615,785,8050
806,0.961,-0.102,-0.109,615,786,8060
807,1.051,0.113,-0.117,615,787,8070
808,0.973,0.012,-0.133,615,788,8080
809,1.008,-0.07,-0.117,615,789,8090
810,0.977,-0.164,-0.16,615,790,8100
811,1.023,0.016,-0.125,615,791,8110
812,1.035,0.082,-0.109,615,792,8120
813,1.043,0.125,-0.16,650,793,8130
814,1,-0.02,-0.129,615,794,8140
815,0.988,0.043,-0.133,615,795,8150
816,0.977,-0.059,-0.121,615,796,8160
817,1.008,0.008,-0.125,615,797,8170
818,1.004,-0.047,-0.129,615,798,8180
819,0.961,-0.055,-0.121,615,799,8190
820,1.027,0.02,-0.121,615,800,8200
821,0.984,-0.121,-0.156,615,801,8210
822,0.973,-0.039,-0.117,615,802,8220
823,1.02,0.047,-0.129,615,803,8230
824,0.977,-0.109,-0.156,615,804,8240
825,1.031,-0.035,-0.137,615,805,8250
826,1.008,0.055,-0.121,615,806,8260
827,0.992,-0.074,-0.172,615,807,8270
828,0.973,-0.082,-0.121,650,808,8280
829,1.02,0.055,-0.125,615,809,8290
830,0.984,0.109,-0.145,615,810,8300
831,1.039,0.117,-0.117,615,811,8310
832,0.961,0.035,-0.129,615,812,8326
833,0.98,-0.074,-0.121,615,813,8330
834,0.965,-0.156,-0.117,615,814,8340
835,0.992,0.039,-0.133,615,815,8350
836,0.992,-0.051,-0.121,615,816,8360
837,0.969,-0.152,-0.148,615,817,8370
838,0.992,0.082,-0.133,615,818,8380
839,0.996,-0.023,-0.125,615,819,8390
840,0.969,-0.129,-0.148,615,820,8400
841,0.988,0.098,-0.129,615,821,8410
842,1.023,-0.008,-0.137,615,822,8420
843,0.969,-0.113,-0.145,615,823,8430
844,1.008,0.121,-0.133,615,824,8440
845,1.023,-0.016,-0.125,615,825,8450
846,0.965,-0.074,-0.137,650,826,8460
847,1.008,0.125,-0.129,615,827,8470
848,1.016,0.008,-0.125,615,828,8480
849,0.984,0.082,-0.117,615,829,8490
850,1.023,0.063,-0.125,615,830,8500
851,0.977,-0.07,-0.16,615,831,8510
852,0.973,-0.094,-0.109,615,832,8520
853,1.012,0.043,-0.133,615,833,8530
854,0.98,-0.031,-0.145,615,834,8540
855,0.973,-0.09,-0.121,616,835,8550
856,0.992,0.035,-0.121,616,836,8560
857,0.988,-0.008,-0.148,616,837,8570
858,0.977,-0.105,-0.121,616,838,8580
859,1.039,0.105,-0.117,616,839,8590
860,0.973,0.008,-0.141,616,840,8600
861,1.039,0.105,-0.125,616,841,8610
862,1,0.102,-0.133,616,842,8620
863,0.98,-0.012,-0.117,616,843,8630
864,0.965,0.086,-0.113,650,844,8640
865,0.961,-0.023,-0.117,616,845,8650
866,1.004,-0.016,-0.125,616,846,8660
867,0.973,-0.094,-0.121,616,847,8670
868,1.004,0.117,-0.133,616,848,8680
869,0.996,0.004,-0.125,616,849,8690
870,1.016,-0.008,-0.125,616,850,8700
871,0.977,-0.059,-0.121,616,851,8711
872,1.008,0.027,-0.117,616,852,8720
873,1,-0.109,-0.152,616,853,8730
874,0.965,-0.059,-0.109,616,854,8740
875,1.027,0.035,-0.121,616,855,8750
876,0.984,0.148,-0.145,616,856,8760
877,1.016,0.016,-0.129,616,857,8770
878,0.984,-0.035,-0.145,616,858,8780
879,0.977,0.137,-0.113,616,859,8790
880,0.98,-0.105,-0.129,616,860,8800
881,0.988,0,-0.145,616,861,8810
882,0.988,-0.078,-0.152,616,862,8820
883,0.973,-0.121,-0.133,616,863,8830
884,0.969,0.012,-0.129,616,864,8840
885,0.977,-0.078,-0.121,680,865,8850
886,0.953,-0.137,-0.168,616,866,8860
887,1.02,0.008,-0.137,616,867,8870
888,1.047,-0.07,-0.121,616,868,8880
889,0.953,-0.148,-0.148,616,869,8890
890,0.996,0.055,-0.133,616,870,8900
891,1.031,-0.031,-0.121,616,871,8910
892,0.973,-0.148,-0.145,616,872,8920
893,0.992,0.086,-0.141,616,873,8930
894,1.004,0.031,-0.137,616,874,8940
895,0.996,0.117,-0.125,616,875,8950
896,1.031,0.027,-0.152,616,876,8960
897,0.973,-0.117,-0.145,616,877,8970
898,0.988,-0.039,-0.125,616,878,8980
899,1.008,0.039,-0.125,616,879,8990
900,0.965,-0.117,-0.152,616,880,9000
901,0.98,-0.039,-0.125,616,881,9010
902,1.02,0.039,-0.121,616,882,9020
903,0.977,-0.109,-0.148,616,883,9030
904,0.969,-0.074,-0.129,616,884,9048
905,1.016,0.051,-0.125,616,885,9050
906,0.973,-0.074,-0.152,616,886,9060
907,0.969,-0.09,-0.117,616,887,9070
908,1.016,0.02,-0.133,616,888,9080
909,0.984,-0.043,-0.148,616,889,9090
910,0.969,-0.102,-0.121,616,890,9100
911,1.02,0.074,-0.125,680,891,9110
912,0.988,-0.012,-0.148,616,892,9120
913,0.98,-0.098,-0.125,616,893,9130
914,1.035,0.113,-0.125,616,894,9140
915,0.992,0.047,-0.133,616,895,9150
916,1.043,0.098,-0.117,616,896,9160
917,1,0.09,-0.133,617,897,9170
918,0.988,-0.02,-0.125,617,898,9180
919,0.973,-0.133,-0.152,617,899,9190
920,0.988,0.105,-0.141,617,900,9200
921,1.004,-0.031,-0.117,617,901,9210
922,0.977,-0.082,-0.141,617,902,9220
923,0.996,0.109,-0.125,617,903,9230
924,1.027,-0.004,-0.125,617,904,9240
925,0.977,-0.012,-0.137,617,905,9253
926,1,0.113,-0.117,643,906,9260
927,1.02,0.004,-0.121,617,907,9270
928,1.004,0.148,-0.148,617,908,9280
929,1.012,0.035,-0.125,617,909,9290
930,0.977,-0.074,-0.148,617,910,9300
931,0.969,-0.098,-0.117,617,911,9310
932,1.008,0.012,-0.117,617,912,9320
933,0.984,-0.051,-0.145,617,913,9330
934,0.969,-0.09,-0.113,617,914,9340
935,1.031,0.09,-0.129,617,915,9350
936,0.98,-0.016,-0.148,617,916,9360
937,0.984,-0.082,-0.133,617,917,9370
938,1.02,0.117,-0.113,617,918,9380
939,0.996,0.016,-0.141,617,919,9390
940,1.039,0.098,-0.121,617,920,9400
941,1,0.094,-0.137,667,921,9410
942,0.996,-0.035,-0.121,617,922,9420
943,0.969,0.09,-0.133,617,923,9430
944,0.957,-0.016,-0.125,617,924,9440
945,1.012,-0.035,-0.129,617,925,9450
946,0.973,0.02,-0.113,617,926,9460
947,0.953,-0.027,-0.113,617,927,9470
948,1.008,0,-0.125,617,928,9480
949,0.973,-0.098,-0.145,617,929,9490
950,0.969,-0.043,-0.105,617,930,9500
951,1.059,-0.008,-0.148,617,931,9510
952,0.965,-0.109,-0.121,617,932,9520
953,1.004,0.09,-0.133,617,933,9530
954,1.004,0.027,-0.121,617,934,9540
955,1,-0.125,-0.156,617,935,9550
956,0.977,-0.031,-0.125,617,936,9560
957,1.023,0.043,-0.117,617,937,9570
958,0.984,-0.109,-0.16,617,938,9588
959,0.965,-0.078,-0.121,617,939,9590
960,1.027,0.047,-0.125,617,940,9600
961,0.977,0.125,-0.141,617,941,9610
962,1.051,0.113,-0.117,617,942,9620
963,0.977,0.031,-0.133,617,943,9630
964,0.984,-0.074,-0.117,617,944,9640
965,0.977,-0.129,-0.137,617,945,9650
966,1,0.031,-0.137,617,946,9660
967,0.984,-0.059,-0.121,617,947,9670
968,0.969,-0.137,-0.148,617,948,9680
969,1.004,0.063,-0.145,617,949,9690
970,1.02,-0.027,-0.121,617,950,9700
971,0.961,-0.137,-0.16,689,951,9710
972,0.996,0.09,-0.133,617,952,9720
973,1.023,-0.02,-0.129,617,953,9730
974,0.973,-0.133,-0.156,617,954,9740
975,0.992,0.105,-0.129,617,955,9750
976,1.031,-0.031,-0.121,617,956,9760
977,0.984,-0.082,-0.145,617,957,9770
978,1,0.113,-0.125,617,958,9780
979,1.02,0.055,-0.125,617,959,9793
980,1.031,0.023,-0.113,617,960,9800
981,1.02,0.055,-0.125,617,961,9810
982,0.977,-0.086,-0.152,617,962,9820
983,0.973,-0.094,-0.121,617,963,9830
984,1.016,0.043,-0.121,617,964,9840
985,0.973,-0.066,-0.145,617,965,9850
986,0.965,-0.098,-0.121,617,966,9860
987,1.039,0.012,-0.137,617,967,9870
988,0.988,-0.039,-0.145,617,968,9880
989,0.977,-0.09,-0.121,618,969,9890
990,1.031,0.09,-0.125,618,970,9900
991,0.973,-0.008,-0.141,618,971,9910
992,1.012,-0.09,-0.133,618,972,9920
993,1.027,0.113,-0.113,618,973,9930
994,1,0.02,-0.129,618,974,9940
995,1.035,0.098,-0.121,618,975,9950
996,1.004,0.105,-0.133,618,976,9960
997,0.996,-0.023,-0.129,618,977,9970
998,0.965,-0.125,-0.129,618,978,9980
999,1.004,0.117,-0.125,618,979,9990
1000,1.02,-0.012,-0.129,618,980,10000
1001,0.973,-0.07,-0.133,618,981,10010
1002,0.984,0.125,-0.129,618,982,10020
1003,1.023,0.012,-0.129,618,983,10030
1004,0.996,-0.063,-0.141,689,984,10040
1005,0.965,-0.055,-0.109,618,985,10050
1006,0.996,0.031,-0.125,618,986,10060
1007,1,0.141,-0.145,618,987,10070
1008,1.008,0.047,-0.121,618,988,10080
1009,0.984,-0.039,-0.141,618,989,10098
1010,0.973,0.137,-0.113,618,990,10100
1011,0.996,-0.039,-0.137,618,991,10110
1012,0.988,-0.023,-0.145,618,992,10120
1013,0.977,0.137,-0.117,618,993,10130
1014,0.965,-0.129,-0.148,618,994,10140
1015,0.992,0,-0.145,618,995,10150
1016,1.047,-0.07,-0.121,618,996,10167
1017,0.973,-0.148,-0.152,618,997,10170
1018,0.984,0.031,-0.141,618,998,10180
20,1.031,-0.063,-0.117,618,999,200
